"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"17","Jimmy Garoppolo (SF)","301","441","68.3","3,810","8.6","20","12","29","38","51","3","3","15","239.5","16.0","3.6%"
"18","Mac Jones (NE)","352","521","67.6","3,801","7.3","22","13","28","44","129","0","3","17","238.0","14.0","29.4%"
"19","Taylor Heinicke (WAS)","321","494","65.0","3,419","6.9","20","15","38","60","313","1","2","16","237.7","14.9","0.7%"
"20","Matt Ryan (IND)","375","560","67.0","3,968","7.1","20","12","40","40","82","1","4","17","234.8","13.8","35.6%"
"21","Ben Roethlisberger (FA)","390","605","64.5","3,740","6.2","22","10","38","20","5","1","5","16","228.0","14.3","13.6%"
"22","Trevor Lawrence (JAC)","359","602","59.6","3,641","6.0","12","17","32","73","334","2","5","17","216.0","12.7","49.0%"
"23","Teddy Bridgewater (MIA)","285","426","66.9","3,052","7.2","18","7","31","30","106","2","1","14","209.8","15.0","1.3%"
"24","Jared Goff (DET)","332","494","67.2","3,245","6.6","19","8","35","17","87","0","6","14","202.4","14.5","13.4%"
"25","Baker Mayfield (CAR)","253","418","60.5","3,010","7.2","17","13","43","37","134","1","3","14","193.8","13.8","7.9%"
"26","Tua Tagovailoa (MIA)","263","388","67.8","2,653","6.8","16","10","20","42","128","3","1","13","190.9","14.7","63.3%"
"27","Daniel Jones (NYG)","232","361","64.3","2,428","6.7","10","7","22","62","298","2","3","11","174.6","15.9","17.4%"
"28","Sam Darnold (CAR)","243","406","59.9","2,527","6.2","9","13","35","48","222","5","4","12","170.5","14.2","1.8%"
"29","Davis Mills (HOU)","263","394","66.8","2,664","6.8","16","10","31","18","44","0","1","13","167.0","12.8","5.0%"
"30","Zach Wilson (NYJ)","213","383","55.6","2,334","6.1","9","11","44","29","185","4","1","13","162.9","12.5","14.8%"
"31","Justin Fields (CHI)","159","270","58.9","1,870","6.9","7","10","36","72","420","2","5","12","136.9","11.4","43.5%"
"32","Taysom Hill (NO)","78","134","58.2","978","7.3","4","5","9","70","374","5","0","12","126.8","10.6","2.7%"
"33","Jameis Winston (NO)","95","161","59.0","1,170","7.3","14","3","11","32","166","1","1","7","120.3","17.2","30.5%"
"34","Trevor Siemian (CHI)","108","188","57.4","1,154","6.1","11","3","9","9","20","1","1","6","93.2","15.5","0.1%"
"35","Andy Dalton (NO)","149","236","63.1","1,515","6.4","8","9","18","16","76","0","1","8","93.1","11.6","0.6%"
"36","Cam Newton (FA)","69","126","54.8","684","5.4","4","5","10","47","230","5","1","8","91.3","11.4","9.2%"
