"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Rondale Moore","ARI","51.5","507.6","2.8","17.3","99.8","0.6","0.6","131.4"
"K.J. Osborn","MIN","45.5","579.0","4.6","0.2","2.0","0.0","0.4","130.1"
"Parris Campbell","IND","48.3","588.3","3.6","0.5","3.3","0.0","0.1","128.9"
"Curtis Samuel","WAS","44.3","502.1","3.4","16.6","91.8","0.8","0.5","128.2"
"George Pickens","PIT","49.5","617.0","3.1","0.4","1.8","0.0","1.2","127.8"
"Donovan Peoples-Jones","CLE","42.9","643.4","3.5","0.0","0.0","0.0","0.4","127.3"
"Joshua Palmer","LAC","46.9","550.8","4.3","0.0","0.0","0.0","0.2","127.1"
"Julio Jones","TB","45.4","608.8","3.6","0.0","0.0","0.0","0.4","126.8"
"Sterling Shepard","NYG","53.9","554.9","2.9","1.0","4.2","0.0","0.4","126.1"
"Kendrick Bourne","NE","42.1","543.5","3.8","6.4","48.2","0.1","0.5","124.1"
"Randall Cobb","GB","42.6","545.0","4.2","0.8","3.2","0.0","0.5","121.5"
"Nick Westbrook-Ikhine","TEN","42.2","541.7","3.8","0.0","0.0","0.0","0.5","118.5"
"Christian Watson","GB","40.0","564.8","3.7","1.2","7.3","0.0","0.7","118.2"
"Laviska Shenault Jr.","JAC","44.5","469.1","2.8","10.5","52.1","0.3","0.4","114.4"
"Jamison Crowder","BUF","44.3","462.6","3.2","2.1","13.2","0.0","0.5","110.3"
"KJ Hamler","DEN","39.2","507.7","3.0","3.1","20.6","0.0","0.1","109.7"
"Alec Pierce","IND","37.3","506.3","3.5","0.0","0.0","0.0","0.3","108.3"
"Devin Duvernay","BAL","41.1","465.2","2.6","4.9","34.0","0.1","0.2","107.0"
"Jameson Williams","DET","37.5","514.0","2.9","0.4","2.2","0.0","0.6","105.4"
"Cedrick Wilson Jr.","MIA","38.3","459.3","3.1","0.6","1.6","0.0","0.5","101.9"
"A.J. Green","ARI","35.2","504.5","2.6","0.0","0.0","0.0","0.1","101.0"
"Byron Pringle","CHI","37.0","465.4","2.8","0.0","0.0","0.0","0.2","100.2"
"Sammy Watkins","GB","34.7","460.0","2.6","0.6","3.5","0.0","0.4","96.1"
"Bryan Edwards","ATL","32.8","465.2","2.4","0.2","1.4","0.0","0.1","93.6"
"Wan'Dale Robinson","NYG","36.2","411.5","2.1","5.7","32.5","0.1","0.3","93.2"
"Braxton Berrios","NYJ","35.2","354.7","2.0","5.2","31.4","0.9","0.5","90.4"
"Zay Jones","JAC","35.2","422.2","2.3","0.4","0.6","0.0","0.4","90.2"
"Velus Jones Jr.","CHI","31.6","406.9","2.5","1.0","6.3","0.0","0.3","87.2"
"James Washington","DAL","26.9","396.8","3.3","0.4","2.4","0.0","0.1","86.2"
"Chris Conley","HOU","33.2","404.3","2.1","0.0","0.0","0.0","0.2","85.7"
"Nelson Agholor","NE","28.1","379.3","2.3","1.5","7.5","0.0","0.1","80.7"
"Terrace Marshall Jr.","CAR","29.6","367.6","2.3","0.0","0.0","0.0","0.1","79.9"
"Olamide Zaccheaus","ATL","29.0","374.8","2.2","0.4","1.8","0.0","0.1","79.5"
"Romeo Doubs","GB","28.4","379.5","2.4","0.7","4.0","0.0","1.1","79.3"
"Jauan Jennings","SF","28.6","325.3","2.6","0.0","0.0","0.0","0.1","76.7"
"David Bell","CLE","28.5","357.0","1.9","1.2","8.8","0.0","0.6","75.6"
"Isaiah McKenzie","BUF","28.4","282.6","2.0","9.0","55.2","0.3","0.2","75.6"
"Amari Rodgers","GB","26.3","341.3","2.3","1.5","9.4","0.0","0.4","74.3"
"Quez Watkins","PHI","25.4","352.1","1.8","0.0","0.0","0.0","0.0","71.5"
"Jalen Guyton","LAC","21.5","312.3","2.0","4.4","25.9","0.1","0.1","67.7"
"Dee Eskridge","SEA","24.2","311.7","1.5","4.3","29.1","0.1","0.3","67.3"
"James Proche II","BAL","25.7","307.2","1.8","0.0","0.0","0.0","0.1","67.0"
"Freddie Swain","SEA","25.3","303.1","1.8","0.5","3.0","0.0","0.1","66.7"
"Demarcus Robinson","LV","24.3","282.3","2.0","0.0","0.0","0.0","0.1","64.5"
"Darius Slayton","NYG","23.0","308.3","1.6","0.2","-2.0","0.0","0.4","62.4"
"Keelan Cole Sr.","LV","19.4","274.3","1.7","0.2","0.2","0.0","0.0","57.0"
"Marquez Callaway","NO","17.5","256.3","1.7","1.8","10.6","0.1","0.0","54.8"
"Phillip Dorsett II","HOU","19.4","239.8","1.1","0.5","3.3","0.0","0.1","50.3"
"Josh Reynolds","DET","16.9","233.5","1.6","0.0","0.0","0.0","0.1","49.6"
"Rashard Higgins","CAR","17.4","233.7","1.2","0.3","2.7","0.0","0.1","48.3"
"Keke Coutee","IND","17.8","204.4","1.3","0.0","0.0","0.0","0.0","45.9"
"Jaylon Moore","BAL","16.8","202.8","1.3","0.0","0.0","0.0","0.0","44.9"
"Laquon Treadwell","JAC","15.9","211.6","1.3","0.0","0.0","0.0","0.0","44.5"
"Tylan Wallace","BAL","15.8","203.9","1.3","0.0","0.0","0.0","0.1","43.9"
"Anthony Schwartz","CLE","15.1","200.6","1.3","1.1","6.8","0.0","0.1","43.6"
"Noah Brown","DAL","15.9","189.0","1.3","0.0","0.0","0.0","0.1","42.6"
"Calvin Austin III","PIT","16.3","195.4","1.1","0.0","0.0","0.0","0.1","42.2"
"Ben Skowronek","LAR","15.1","185.0","1.3","0.0","0.0","0.0","0.0","41.6"
"KhaDarel Hodge","ATL","13.9","206.3","0.9","0.0","0.0","0.0","0.0","39.9"
"Cam Sims","WAS","13.4","185.8","1.1","0.0","0.0","0.0","0.0","38.4"
