"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"86",7,"Dallas Goedert",PHI,"TE8","7","2 out of 5 stars","-9"
"87",7,"Melvin Gordon III",DEN,"RB35","9","3 out of 5 stars","+10"
"88",7,"DeVonta Smith",PHI,"WR35","7","4 out of 5 stars","0"
"89",7,"Hunter Renfrow",LV,"WR36","6","2 out of 5 stars","-14"
"90",7,"Rhamondre Stevenson",NE,"RB36","10","4 out of 5 stars","+17"
"91",7,"Brandon Aiyuk",SF,"WR37","9","3 out of 5 stars","+5"
"92",7,"Drake London",ATL,"WR38","14","4 out of 5 stars","+3"
"93",7,"Zach Ertz",ARI,"TE9","13","3 out of 5 stars","-2"
"94",7,"Tyler Lockett",SEA,"WR39","11","4 out of 5 stars","-5"
"95",7,"Ken Walker III",SEA,"RB37","11","2 out of 5 stars","+3"
"96",8,"Christian Kirk",JAC,"WR40","11","4 out of 5 stars","+5"
"97",8,"Trey Lance",SF,"QB11","9","3 out of 5 stars","+3"
"98",8,"Matthew Stafford",LAR,"QB12","7","3 out of 5 stars","-8"
"99",8,"DeAndre Hopkins",ARI,"WR41","13","2 out of 5 stars","-27"
"100",8,"Aaron Rodgers",GB,"QB13","14","2 out of 5 stars","-15"
"101",8,"Allen Lazard",GB,"WR42","14","3 out of 5 stars","+8"
"102",8,"Robert Woods",TEN,"WR43","6","3 out of 5 stars","-3"
"103",8,"James Cook",BUF,"RB38","7","4 out of 5 stars","+8"
"104",8,"Kadarius Toney",NYG,"WR44","9","4 out of 5 stars","+12"
"105",8,"Pat Freiermuth",PIT,"TE10","9","4 out of 5 stars","+7"
"106",8,"Treylon Burks",TEN,"WR45","6","3 out of 5 stars","+2"
"107",8,"Michael Carter",NYJ,"RB39","10","4 out of 5 stars","-3"
"108",8,"Nyheim Hines",IND,"RB40","14","3 out of 5 stars","+16"
"109",8,"Cole Kmet",CHI,"TE11","14","5 out of 5 stars","+17"
"110",8,"Chase Claypool",PIT,"WR46","9","4 out of 5 stars","-5"
"111",8,"Kirk Cousins",MIN,"QB14","7","3 out of 5 stars","+6"
"112",8,"Dawson Knox",BUF,"TE12","7","3 out of 5 stars","-18"
"113",8,"Derek Carr",LV,"QB15","6","2 out of 5 stars","-7"
"114",8,"Alexander Mattison",MIN,"RB41","7","4 out of 5 stars","+5"
"115",8,"Russell Gage",TB,"WR47","11","4 out of 5 stars","-1"
"116",8,"Darrell Henderson Jr.",LAR,"RB42","7","2 out of 5 stars","+4"
"117",8,"Jakobi Meyers",NE,"WR48","10","4 out of 5 stars","+34"
"118",8,"Garrett Wilson",NYJ,"WR49","10","1 out of 5 stars","+4"
"119",8,"Chris Olave",NO,"WR50","14","4 out of 5 stars","-6"
"120",8,"Tyler Boyd",CIN,"WR51","10","3 out of 5 stars","+3"
"121",8,"J.D. McKissic",WAS,"RB43","14","4 out of 5 stars","+19"
"122",8,"James Robinson",JAC,"RB44","11","3 out of 5 stars","-20"
"123",8,"Kenneth Gainwell",PHI,"RB45","7","3 out of 5 stars","+37"
"124",8,"Ronald Jones II",KC,"RB46","8","3 out of 5 stars","-3"
"125",8,"Mike Gesicki",MIA,"TE13","11","3 out of 5 stars","-15"
"126",9,"Skyy Moore",KC,"WR52","8","2 out of 5 stars","+1"
"127",9,"Dameon Pierce",HOU,"RB47","6","3 out of 5 stars","+10"
"128",9,"Isaiah Spiller",LAC,"RB48","8","2 out of 5 stars","+15"
"129",9,"Jarvis Landry",NO,"WR53","14","4 out of 5 stars","+10"
"130",9,"DeVante Parker",NE,"WR54","10","4 out of 5 stars","+15"
"131",9,"Hunter Henry",NE,"TE14","10","4 out of 5 stars","+7"
"132",9,"Kenny Golladay",NYG,"WR55","9","4 out of 5 stars","+25"
"133",9,"Tua Tagovailoa",MIA,"QB16","11","2 out of 5 stars","-8"
"134",9,"Rondale Moore",ARI,"WR56","13","2 out of 5 stars","+35"
"135",9,"Marquez Valdes-Scantling",KC,"WR57","8","2 out of 5 stars","+7"
"136",9,"Justin Fields",CHI,"QB17","14","4 out of 5 stars","-1"
"137",9,"Noah Fant",SEA,"TE15","11","2 out of 5 stars","+17"
"138",9,"Michael Gallup",DAL,"WR58","9","3 out of 5 stars","+3"
"139",9,"Irv Smith Jr.",MIN,"TE16","7","3 out of 5 stars","+11"
"140",9,"Jamaal Williams",DET,"RB49","6","4 out of 5 stars","+24"
"141",9,"DJ Chark Jr.",DET,"WR59","6","3 out of 5 stars","+12"
"142",9,"Raheem Mostert",MIA,"RB50","11","4 out of 5 stars","-8"
"143",9,"Tyler Allgeier",ATL,"RB51","14","1 out of 5 stars","+22"
"144",9,"Albert Okwuegbunam",DEN,"TE17","9","3 out of 5 stars","+24"
"145",9,"Khalil Herbert",CHI,"RB52","14","5 out of 5 stars","+63"
"146",9,"Tyler Higbee",LAR,"TE18","7","3 out of 5 stars","+35"
"147",9,"Trevor Lawrence",JAC,"QB18","11","5 out of 5 stars","+9"
"148",9,"Gerald Everett",LAC,"TE19","8","4 out of 5 stars","+30"
"149",9,"Rachaad White",TB,"RB53","11","2 out of 5 stars","+18"
"150",9,"Robert Tonyan",GB,"TE20","14","1 out of 5 stars","+26"
"151",9,"Jahan Dotson",WAS,"WR60","14","4 out of 5 stars","+24"
"152",9,"David Njoku",CLE,"TE21","9","4 out of 5 stars","+7"
"153",9,"Marlon Mack",HOU,"RB54","6","3 out of 5 stars","-6"
"154",9,"Evan Engram",JAC,"TE22","11","4 out of 5 stars","+28"
"155",9,"Darrel Williams",ARI,"RB55","13","2 out of 5 stars","+40"
"156",9,"Julio Jones",TB,"WR61","11","4 out of 5 stars","+10"
"157",9,"Corey Davis",NYJ,"WR62","10","1 out of 5 stars","+56"
"158",10,"Gus Edwards",BAL,"RB56","10","4 out of 5 stars","+43"
"159",10,"Jameis Winston",NO,"QB19","14","3 out of 5 stars","+11"
"160",10,"Robbie Anderson",CAR,"WR63","13","3 out of 5 stars","+34"
"161",10,"Matt Ryan",IND,"QB20","14","3 out of 5 stars","-3"
"162",10,"Buffalo Bills",BUF,"DST1","7","4 out of 5 stars","-59"
"163",10,"Sony Michel",MIA,"RB57","11","4 out of 5 stars","+56"
"164",10,"Mecole Hardman",KC,"WR64","8","2 out of 5 stars","-16"
"165",10,"Jameson Williams",DET,"WR65","6","3 out of 5 stars","+9"
"166",10,"Austin Hooper",TEN,"TE23","6","5 out of 5 stars","+32"
"167",10,"Nico Collins",HOU,"WR66","6","3 out of 5 stars","+69"
"168",10,"Tampa Bay Buccaneers",TB,"DST2","11","4 out of 5 stars","-50"
"169",10,"Mark Ingram II",NO,"RB58","14","3 out of 5 stars","-6"
"170",10,"Van Jefferson",LAR,"WR67","7","2 out of 5 stars","+23"
"171",10,"Ryan Tannehill",TEN,"QB21","6","4 out of 5 stars","+9"
"172",10,"San Francisco 49ers",SF,"DST3","9","4 out of 5 stars","-39"
"173",10,"Logan Thomas",WAS,"TE24","14","4 out of 5 stars","+58"
"174",10,"Marvin Jones Jr.",JAC,"WR68","11","4 out of 5 stars","+30"
"175",10,"D'Onta Foreman",CAR,"RB59","13","3 out of 5 stars","+32"
"176",10,"Indianapolis Colts",IND,"DST4","14","3 out of 5 stars","-40"
"177",10,"George Pickens",PIT,"WR69","9","4 out of 5 stars","-4"
"178",10,"Christian Watson",GB,"WR70","14","3 out of 5 stars","-29"
"179",10,"Daniel Jones",NYG,"QB22","9","5 out of 5 stars","+44"
"180",10,"Jamison Crowder",BUF,"WR71","7","4 out of 5 stars","+58"
"181",10,"Mac Jones",NE,"QB23","10","4 out of 5 stars","-9"
"182",10,"Joshua Palmer",LAC,"WR72","8","3 out of 5 stars","+20"
"183",10,"Justin Tucker",BAL,"K1","10","3 out of 5 stars","-68"
"184",10,"Denver Broncos",DEN,"DST5","9","3 out of 5 stars","+3"
"185",10,"K.J. Osborn",MIN,"WR73","7","2 out of 5 stars","+33"
"186",10,"Zach Wilson",NYJ,"QB24","10","1 out of 5 stars","+17"
"187",10,"New Orleans Saints",NO,"DST6","14","3 out of 5 stars","-59"
"188",10,"New England Patriots",NE,"DST7","10","3 out of 5 stars","-26"
"189",10,"Los Angeles Rams",LAR,"DST8","7","3 out of 5 stars","-60"
"190",10,"Brian Robinson Jr.",WAS,"RB60","14","4 out of 5 stars","+21"
"191",10,"Hayden Hurst",CIN,"TE25","10","2 out of 5 stars","+8"
"192",10,"Tyler Bass",BUF,"K2","7","4 out of 5 stars","-40"
"193",10,"Kendrick Bourne",NE,"WR74","10","4 out of 5 stars","+57"
"194",10,"Kenyan Drake",LV,"RB61","6","2 out of 5 stars","-4"
"195",10,"Matt Gay",LAR,"K3","7","2 out of 5 stars","-49"
"196",10,"Sterling Shepard",NYG,"WR75","9","4 out of 5 stars","+122"
"197",10,"Donovan Peoples-Jones",CLE,"WR76","9","4 out of 5 stars","+47"
"198",11,"Dallas Cowboys",DAL,"DST9","9","2 out of 5 stars","-67"
"199",11,"Daniel Carlson",LV,"K4","6","2 out of 5 stars","-67"
"200",11,"Jalen Tolbert",DAL,"WR77","9","3 out of 5 stars","-14"
"201",11,"Curtis Samuel",WAS,"WR78","14","4 out of 5 stars","+57"
"202",11,"Evan McPherson",CIN,"K5","10","0 out of 5 stars","-41"
"203",11,"Parris Campbell",IND,"WR79","14","4 out of 5 stars","+57"
"204",11,"Los Angeles Chargers",LAC,"DST10","8","4 out of 5 stars","-49"
"205",11,"KJ Hamler",DEN,"WR80","9","4 out of 5 stars","+81"
"206",11,"Miami Dolphins",MIA,"DST11","11","3 out of 5 stars","-21"
"207",11,"Wan'Dale Robinson",NYG,"WR81","9","4 out of 5 stars","+36"
"208",11,"Green Bay Packers",GB,"DST12","14","3 out of 5 stars","-29"
"209",11,"Zamir White",LV,"RB62","6","2 out of 5 stars","+11"
"210",11,"David Bell",CLE,"WR82","9","4 out of 5 stars","+58"
"211",11,"Carson Wentz",WAS,"QB25","14","4 out of 5 stars","-1"
"212",11,"Kansas City Chiefs",KC,"DST13","8","3 out of 5 stars","+10"
"213",11,"Deshaun Watson",CLE,"QB26","9","4 out of 5 stars","-69"
"214",11,"Ryan Succop",TB,"K6","11","1 out of 5 stars","-25"
"215",11,"A.J. Green",ARI,"WR83","13","2 out of 5 stars","+9"
"216",11,"Brevin Jordan",HOU,"TE26","6","3 out of 5 stars","+72"
"217",11,"Chuba Hubbard",CAR,"RB63","13","3 out of 5 stars","-26"
"218",11,"Boston Scott",PHI,"RB64","7","3 out of 5 stars","+72"
"219",11,"Laviska Shenault Jr.",JAC,"WR84","11","4 out of 5 stars","+51"
"220",11,"Matt Prater",ARI,"K7","13","2 out of 5 stars","-49"
"221",11,"Jared Goff",DET,"QB27","6","3 out of 5 stars","+11"
"222",11,"Harrison Butker",KC,"K8","8","5 out of 5 stars","-92"
"223",11,"Cleveland Browns",CLE,"DST14","9","4 out of 5 stars","-6"
"224",11,"Tyrion Davis-Price",SF,"RB65","9","2 out of 5 stars","-18"
"225",11,"Samaje Perine",CIN,"RB66","10","3 out of 5 stars","+29"
"226",11,"Baltimore Ravens",BAL,"DST15","10","4 out of 5 stars","-43"
"227",11,"Alec Pierce",IND,"WR85","14","4 out of 5 stars","-27"
"228",11,"Philadelphia Eagles",PHI,"DST16","7","2 out of 5 stars","-3"
"229",11,"Damien Williams",ATL,"RB67","14","1 out of 5 stars","+52"
"230",11,"Terrace Marshall Jr.",CAR,"WR86","13","3 out of 5 stars","+53"
"231",11,"Pittsburgh Steelers",PIT,"DST17","9","5 out of 5 stars","-54"
"232",11,"Younghoe Koo",ATL,"K9","14","1 out of 5 stars","-48"
"233",11,"Rodrigo Blankenship",IND,"K10","14","4 out of 5 stars","-37"
"234",11,"Jason Sanders",MIA,"K11","11","1 out of 5 stars","+41"
"235",11,"Jonnu Smith",NE,"TE27","10","4 out of 5 stars","+91"
"236",11,"Jerick McKinnon",KC,"RB68","8","3 out of 5 stars","+1"
"237",11,"Byron Pringle",CHI,"WR87","14","3 out of 5 stars","+63"
"238",11,"D'Ernest Johnson",CLE,"RB69","9","3 out of 5 stars","+7"
"239",11,"Arizona Cardinals",ARI,"DST18","13","3 out of 5 stars","+32"
"240",11,"Braxton Berrios",NYJ,"WR88","10","1 out of 5 stars","+150"
"241",11,"Adam Trautman",NO,"TE28","14","4 out of 5 stars","+86"
"242",11,"Myles Gaskin",MIA,"RB70","11","4 out of 5 stars","-15"
"243",11,"Trey Sermon",SF,"RB71","9","2 out of 5 stars","+10"
"244",11,"Nick Folk",NE,"K12","10","5 out of 5 stars","-56"
